 Đường Nguyễn Ánh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh
 Đường Lương Khánh Thiện, Phường Tương Mai, Quận Hoàng Mai, Hà Nội
 Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Săm Brăm, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Hồ Chí Minh
 Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội
 Đường Hà Huy Tập, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk
 Phố Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội
 Đường Lê Đức Thọ, Phường 16, Quận Gò Vấp, Hồ Chí Minh
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội
 Đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh
 Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh
 Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội
 Đường Thượng Đình, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội
 Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh
 Từ Liêm Đường Cầu Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội
 Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội
 Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội
 Phố Tràng Thi, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội
 Phố Thuốc Bắc, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội
 Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội
 Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội
 Phố Ngõ Trạm, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Xã Cư Êbur, Thành phố Buôn Ma Thuột, Đắk Lắk
 Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường số 30, Phường 6, Quận Gò Vấp, Hồ Chí Minh
 Đường A1, Phường Bình Trị Đông, Quận Bình Tân, Hồ Chí Minh
 Đường Nguyễn Văn Cừ, Phường Tân Lập, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Tân Thới Nhất 1, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh
 Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội
 Đường Hoa Lâm, Phường Đức Giang, Quận Long Biên, Hà Nội
 Phố Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội
 Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Vạn Xuân, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Số 13, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Phố Trần Đại Nghĩa, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội
 Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội
 Phố Ngụy Như Kon Tum, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Đường Trần Cao Vân, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng
 Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường B3, Xã Cư Êbur, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội
 Đường Yên Lãng, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Nguyễn Thị Định, Phường Thành Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk
 Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Mai Thị Lựu, Phường Ea Tam, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Đường Quang Trung, Phường 11, Quận Gò Vấp, Hồ Chí Minh
 Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội
 Xã Ea Tu, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Lê Đại Hành, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Đường Hà Huy Tập, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk
 Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội
 Đường Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Số 7, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng
 Phường Bồ Đề, Quận Long Biên, Hà Nội
 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội
 Đường Lê Lợi, Phường 4, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Phố Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội
 Đường Quốc Lộ 1k, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Phố Ngọc Khánh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội
 Đường Số 8, Phường Linh Xuân, Quận Thủ Đức, Hồ Chí Minh
 Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Đường Thùy Vân, Phường 8, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu
 Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội
 Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Phố Nguyễn Gia Thiều, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội
 Phố Lương Ngọc Quyến, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức, Hồ Chí Minh
 Phố Lê Thanh Nghị, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
 Đường Lạc Nghiệp, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội
 Phố Tống Duy Tân, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Đường An Trai, Xã Vân Canh, Huyện Hoài Đức, Hà Nội
 Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội
 Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội
 Đường Đặng Vũ Hỷ, Phường Thượng Thanh, Quận Long Biên, Hà Nội
 Phố Giảng Võ, Phường Cát Linh, Quận Đống Đa, Hà Nội
 Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Phố Nguyễn Thái Học, Phường Kim Mã, Quận Ba Đình, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Phố Phùng Hưng, Phường Hàng Mã, Quận Hoàn Kiếm, Hà Nội
 Phố Mai Hắc Đế, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội
 Đường Thanh Am, Phường Đức Giang, Quận Long Biên, Hà Nội
 Xã Trung Thành, Thị xã Phổ Yên, Thái Nguyên
 Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Lạc Long Quân, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội
 Phố Trúc Bạch, Phường Trúc Bạch, Quận Ba Đình, Hà Nội
 Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Đường Hàng Giầy, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội
 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội
 Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Kha Vạn Cân, Phường Linh Đông, Quận Thủ Đức, Hồ Chí Minh
 Phố Cự Lộc, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội
 Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh
 Phố Nguyễn Thị Thập, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Dữ, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa
 Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội
 Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội
 Đường Vũ Phạm Hàm, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Hoa Lâm, Phường Đức Giang, Quận Long Biên, Hà Nội
 Đường Lâm Du Bồ Đề, Phường Long Biên, Quận Long Biên, Hà Nội
 Phố Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Phố Ngụy Như Kon Tum, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
 Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội
 Phố Tô Hiệu, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội
 Đường Lê Văn Lương, Phường Tân Kiểng, Quận 7, Hồ Chí Minh
 Phố Ái Mộ, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Nguyễn Khả Trạc, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội
 Phố Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội
 Đường Lưu Khánh Đàm, Phường Việt Hưng, Quận Long Biên, Hà Nội
 Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Phố Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội
 Đường Cầu Giấy, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội
 Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
 Đường Lâm Du Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh
 Phố Lương Ngọc Quyến, Phường Hàng Buồm, Quận Hoàn Kiếm, Hà Nội
 Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội
 Phố Trấn Vũ, Phường Trúc Bạch, Quận Ba Đình, Hà Nội
 Đường Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội
 Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội
 Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức, Hồ Chí Minh
 Đường Vũ Phạm Hàm, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội
 Đường Võ Văn Dũng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội
 Đường Thanh Liệt, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội
 Đường Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Phố Hàng Vôi, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội
 Phố Phủ Doãn, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội
 Phố Cầu Gỗ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội
 Phố Bà Triệu, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội
 Đường Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội
 Đường Trần Kim Xuyến, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội
 Phường Ninh Diêm, Thị xã Ninh Hòa, Khánh Hòa
 Đường Mạc Đỉnh Chi, Phường Phước Tiến, Thành phố Nha Trang, Khánh Hòa
 Đường Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội
 Đường Quang Trung, Phường 10, Quận Gò Vấp, Hồ Chí Minh
 Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng
 Trung Văn Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội
 Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng
 Phố Thợ Nhuộm, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội
 Đường Ven Hồ, Phường Yên Phụ, Quận Tây Hồ, Hà Nội
 Đường Hoàng Diệu 2, Phường Linh Chiểu, Quận Thủ Đức, Hồ Chí Minh
 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội
 Xuân Phương Đường Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội
 Đường Bắc Cầu 2, Phường Ngọc Thụy, Quận Long Biên, Hà Nội
 Phố Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội
 Đường Đống Đa, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng
 Mễ Trì Thượng Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội
 Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Phố Quang Trung, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội
 Đường Kha Vạn Cân, Phường Linh Tây, Quận Thủ Đức, Hồ Chí Minh
 Đường Nguyễn Đình Tứ, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng
 Lê Quang Đạo Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội
 Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội
 Đường Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội
 Đường Thanh Liệt, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội
 Đường Trường Chinh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội
 Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội
 Đường Nguyễn Sơn, Phường Ngọc Lâm, Quận Long Biên, Hà Nội
 Đường Đội Nhân, Phường Cống Vị, Quận Ba Đình, Hà Nội
 Mỹ Đình Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội
 Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội
 Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội
 Phố Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Hà Nội
 Đường Số 59, Phường 14, Quận Gò Vấp, Hồ Chí Minh
 Phố Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội
